employment_matrix,2023 National Employment Matrix code,"Employment, 2023","Employment, 2033","Employment change, numeric, 2023–33","Employment change, percent, 2023–33","Median annual wage, dollars, 2023[1]",education_needed,Adaptability,Computers and information technology,Creativity and innovation,Critical and analytical thinking,Customer service,Detail oriented,Fine motor,Interpersonal,Leadership,Mathematics,Mechanical,Physical strength and stamina,Problem solving and decision making,Project management,Science,Speaking and listening,Writing and reading
  Aerospace engineering and operations technologists and technicians,17-3021,11.0,11.9,0.9,7.9,"77,830",Associate's degree,3.8,3.8,2.7,3.7,2.7,4.2,3.1,2.9,2.8,3.2,3.0,2.1,3.8,2.9,2.5,3.1,3.5
  Civil engineering technologists and technicians,17-3022,66.0,67.1,1.2,1.8,"60,700",Associate's degree,3.8,3.7,2.8,3.5,3.0,3.5,2.2,3.1,2.8,3.8,1.7,1.5,3.5,2.7,2.6,3.2,3.6
  Electrical and electronic engineering technologists and technicians,17-3023,99.6,102.6,3.0,3.0,"72,800",Associate's degree,3.8,3.9,2.8,3.5,2.6,3.8,2.9,3.0,3.0,3.2,2.9,1.8,3.7,2.8,2.3,3.0,3.4
  Electro-mechanical and mechatronics technologists and technicians,17-3024,15.8,15.6,-0.2,-1.2,"65,080",Associate's degree,3.7,3.8,2.8,3.5,2.6,4.1,3.5,2.9,3.0,3.0,3.5,2.4,3.6,2.5,2.1,2.8,3.2
  Environmental engineering technologists and technicians,17-3025,14.2,14.5,0.3,2.3,"54,000",Associate's degree,3.7,3.5,2.5,3.6,2.8,3.6,2.7,2.9,2.8,3.1,2.5,2.2,3.4,2.6,3.2,3.2,3.4
  Industrial engineering technologists and technicians,17-3026,74.5,77.6,3.0,4.1,"62,610",Associate's degree,3.8,3.5,3.0,3.7,2.6,3.8,2.5,3.0,3.0,3.2,2.5,2.0,3.9,2.7,2.8,3.1,3.4
  Mechanical engineering technologists and technicians,17-3027,39.9,40.7,0.8,1.9,"64,020",Associate's degree,3.6,3.6,2.8,3.6,2.6,4.0,2.9,3.0,3.1,3.4,2.9,2.4,3.7,2.7,2.5,3.3,3.7
  Calibration technologists and technicians[2],17-3028,13.8,14.5,0.8,5.5,"62,790",Associate's degree,3.8,3.8,2.7,3.7,2.7,4.2,3.1,2.9,2.8,3.2,3.0,2.1,3.8,2.9,2.5,3.1,3.5
"  Engineering technologists and technicians, except drafters, all other[2]",17-3029,69.5,72.6,3.1,4.4,"73,500",Associate's degree,3.7,3.7,2.8,3.6,2.7,3.8,2.7,3.0,3.0,3.3,2.6,1.9,3.7,2.7,2.5,3.1,3.5
  Surveying and mapping technicians,17-3031,57.4,60.6,3.2,5.6,"48,940",High school diploma or equivalent,3.4,3.9,2.5,3.3,2.4,3.8,3.0,2.7,2.8,3.4,2.1,2.0,3.4,2.5,1.9,2.9,3.3
  Animal scientists,19-1011,2.5,2.7,0.2,7.9,"70,140",Bachelor's degree,3.9,3.8,3.2,4.0,3.0,3.7,1.9,3.1,3.5,3.5,1.7,1.8,4.0,2.9,3.8,3.7,4.1
  Food scientists and technologists,19-1012,14.5,15.7,1.3,8.9,"82,090",Bachelor's degree,3.8,3.5,3.2,3.8,2.4,3.6,2.2,3.0,3.3,3.3,1.8,1.8,3.7,2.9,3.7,3.5,3.9
  Soil and plant scientists,19-1013,20.3,21.7,1.5,7.2,"68,240",Bachelor's degree,3.9,3.9,3.3,3.9,2.9,3.5,2.3,3.0,3.4,3.3,1.9,2.1,3.7,3.0,3.9,3.6,4.0
  Biochemists and biophysicists,19-1021,35.7,39.0,3.2,9.0,"107,460",Doctoral or professional degree,4.3,4.0,3.6,4.1,2.1,4.0,2.6,2.9,3.5,3.9,2.3,1.5,3.9,3.0,4.5,3.5,4.3
  Microbiologists,19-1022,23.2,24.8,1.6,6.7,"85,470",Bachelor's degree,4.0,3.8,2.8,3.9,2.3,4.3,2.9,2.9,3.3,3.1,1.9,1.7,3.7,3.0,3.6,3.4,4.2
  Zoologists and wildlife biologists,19-1023,18.8,19.6,0.8,4.4,"70,600",Bachelor's degree,3.9,3.6,3.0,3.6,3.2,3.6,2.3,3.2,3.4,3.1,1.9,2.1,3.9,3.2,3.2,3.6,3.9
"  Biological scientists, all other[2]",19-1029,66.8,70.6,3.8,5.6,"91,100",Bachelor's degree,4.1,3.9,3.2,3.9,2.4,4.0,2.6,3.0,3.4,3.5,2.1,1.7,3.8,3.0,3.9,3.5,4.2
  Conservation scientists,19-1031,25.9,27.4,1.4,5.6,"68,750",Bachelor's degree,3.6,3.8,2.8,3.5,3.0,3.3,2.4,3.2,3.3,3.3,1.9,2.4,3.5,3.1,3.5,3.5,3.8
  Foresters,19-1032,15.4,15.9,0.5,3.0,"67,330",Bachelor's degree,3.6,3.5,2.7,3.7,3.2,3.5,2.3,3.3,3.3,3.0,2.3,2.5,4.1,3.6,2.6,3.5,3.8
  Epidemiologists,19-1041,11.0,13.1,2.1,18.8,"81,390",Master's degree,3.8,3.8,3.3,4.2,2.8,3.7,1.5,3.4,3.5,3.8,1.1,1.2,4.1,2.9,3.0,3.9,4.3
"  Medical scientists, except epidemiologists",19-1042,146.6,163.4,16.8,11.5,"100,890",Doctoral or professional degree,4.1,3.6,3.3,3.9,2.1,3.9,2.5,3.3,3.2,3.3,1.7,1.3,3.9,2.7,3.6,3.6,4.0
"  Life scientists, all other[2]",19-1099,8.0,8.5,0.5,6.5,"86,950",Bachelor's degree,4.0,3.7,3.2,3.9,2.4,3.8,2.5,3.2,3.3,3.4,1.9,1.6,3.8,2.9,3.7,3.5,4.1
  Astronomers,19-2011,2.4,2.6,0.2,7.4,"127,930",Doctoral or professional degree,3.8,4.1,3.4,4.0,2.1,3.7,1.7,2.7,3.4,4.3,1.7,1.1,3.5,2.8,3.5,3.6,4.1
  Physicists,19-2012,21.1,22.6,1.5,7.2,"155,680",Doctoral or professional degree,3.7,4.3,3.5,4.0,2.2,3.4,1.6,2.8,3.0,4.5,1.6,1.2,3.6,2.8,3.6,3.7,4.1
  Atmospheric and space scientists,19-2021,9.9,10.5,0.6,5.6,"92,860",Bachelor's degree,4.1,3.8,2.8,3.8,2.7,3.6,1.9,3.0,3.2,3.4,1.3,1.2,3.8,2.6,3.3,3.8,4.1
  Chemists,19-2031,87.2,93.8,6.6,7.6,"84,680",Bachelor's degree,3.9,3.7,2.8,3.8,2.4,3.9,2.5,2.9,3.3,3.7,2.4,1.9,3.7,2.9,3.7,3.2,3.9
  Materials scientists,19-2032,9.2,10.0,0.8,8.7,"106,160",Bachelor's degree,3.8,3.9,3.3,4.0,2.2,3.7,2.2,2.8,3.2,3.6,2.0,1.3,3.7,2.8,3.7,3.5,4.1
"  Environmental scientists and specialists, including health",19-2041,84.6,90.7,6.1,7.3,"78,980",Bachelor's degree,3.9,3.7,2.5,3.8,3.1,3.4,1.6,3.1,3.1,3.1,1.6,1.7,3.5,2.8,3.4,3.6,4.0
"  Geoscientists, except hydrologists and geographers",19-2042,26.0,27.4,1.4,5.5,"92,580",Bachelor's degree,3.8,3.8,3.1,3.9,2.6,3.4,2.0,2.9,3.3,3.6,1.8,1.9,3.7,2.7,3.6,3.6,4.0
  Hydrologists,19-2043,6.5,6.7,0.2,2.8,"88,770",Bachelor's degree,3.6,3.9,3.0,3.8,2.5,3.5,2.1,2.9,3.2,3.8,2.1,2.0,3.5,2.8,3.7,3.4,3.9
"  Physical scientists, all other[2]",19-2099,34.1,34.9,0.8,2.3,"112,280",Bachelor's degree,3.9,3.8,2.8,3.8,2.7,3.6,2.0,3.0,3.2,3.6,1.9,1.7,3.6,2.8,3.6,3.5,4.0
  Economists,19-3011,17.5,18.4,0.9,5.1,"115,730",Master's degree,3.6,3.7,3.1,4.0,2.2,3.4,1.4,2.5,2.8,4.0,1.1,1.1,3.8,2.4,1.5,3.6,4.0
  Survey researchers,19-3022,9.7,9.7,0.0,-0.2,"60,960",Master's degree,3.8,3.9,2.9,3.9,2.8,3.6,1.6,3.0,3.3,3.9,1.1,1.1,3.5,3.0,1.5,3.7,4.1
  Industrial-organizational psychologists,19-3032,8.6,9.1,0.5,5.8,"147,420",Master's degree,4.1,3.9,3.1,4.1,2.9,3.7,1.3,3.6,3.8,3.6,1.0,1.1,4.2,2.9,1.8,3.9,4.4
  Clinical and counseling psychologists,19-3033,76.8,87.0,10.2,13.3,"96,100",Doctoral or professional degree,4.2,3.4,3.0,3.5,3.5,3.5,1.4,4.5,3.0,2.3,1.1,1.2,3.8,2.3,1.8,3.9,4.2
  School psychologists,19-3034,65.5,66.0,0.5,0.7,"84,940",Master's degree,4.2,3.2,2.8,3.6,2.9,3.4,1.6,4.1,3.0,3.0,1.1,1.2,3.8,2.1,1.6,3.7,4.0
"  Psychologists, all other[2]",19-3039,56.6,59.4,2.9,5.0,"117,750",Master's degree,4.2,3.3,2.9,3.6,3.2,3.5,1.5,4.2,3.1,2.7,1.1,1.2,3.8,2.2,1.7,3.8,4.2
  Sociologists,19-3041,3.3,3.6,0.2,6.9,"101,770",Master's degree,4.0,3.7,3.3,3.9,2.7,3.2,1.4,3.5,3.3,2.9,1.1,1.2,3.5,2.6,1.7,3.8,4.2
  Urban and regional planners,19-3051,45.2,47.1,2.0,4.3,"81,800",Master's degree,4.1,3.4,3.1,3.9,3.5,3.1,1.6,3.5,3.5,3.0,1.1,1.2,3.8,3.2,1.8,3.9,4.0
  Anthropologists and archeologists,19-3091,8.7,9.3,0.7,7.8,"63,800",Master's degree,3.9,3.8,3.1,3.8,2.6,3.6,2.4,3.1,3.3,2.9,1.5,2.1,3.4,2.8,2.3,3.8,4.4
  Geographers,19-3092,1.6,1.7,0.0,2.5,"90,880",Bachelor's degree,3.7,3.8,3.0,3.8,2.6,3.2,1.5,3.0,2.9,3.0,1.3,1.3,3.4,2.5,2.5,3.6,4.1
  Historians,19-3093,3.4,3.6,0.2,5.7,"72,890",Master's degree,3.7,3.3,3.4,3.3,3.2,3.3,1.9,3.3,2.8,1.9,1.3,1.5,3.5,2.6,1.9,3.6,4.4
  Political scientists,19-3094,6.2,6.3,0.2,2.6,"132,350",Master's degree,3.9,3.5,3.1,3.8,2.4,3.3,1.2,3.0,2.9,2.9,1.1,1.1,3.6,2.5,1.6,4.0,4.3
"  Social scientists and related workers, all other[2]",19-3099,39.2,40.6,1.3,3.4,"95,890",Bachelor's degree,4.1,3.4,3.0,3.7,3.1,3.4,1.5,3.9,3.1,2.9,1.1,1.2,3.8,2.4,1.7,3.8,4.1
  Agricultural technicians,19-4012,19.6,20.8,1.2,5.9,"43,180",Associate's degree,3.8,3.4,2.9,3.1,2.6,4.0,2.9,3.4,3.2,3.4,2.4,2.3,3.4,2.9,3.4,3.0,3.5
  Food science technicians,19-4013,25.1,26.9,1.8,7.3,"49,090",Associate's degree,3.6,3.5,2.3,3.1,2.2,3.8,2.9,2.9,3.5,2.9,2.0,2.0,3.5,2.5,2.9,3.1,3.5
  Biological technicians,19-4021,83.1,88.6,5.5,6.6,"51,430",Bachelor's degree,3.9,3.7,2.7,3.5,1.8,3.8,2.8,2.8,2.5,3.1,2.1,2.1,3.2,2.7,3.3,3.2,3.6
  Chemical technicians,19-4031,58.3,61.4,3.2,5.5,"56,750",Associate's degree,3.5,3.6,2.6,3.6,2.2,4.1,3.1,2.8,2.8,3.1,2.6,2.3,3.5,2.8,2.9,3.1,3.8
"  Environmental science and protection technicians, including health",19-4042,33.9,36.2,2.4,7.0,"50,660",Associate's degree,3.7,3.7,2.4,3.5,3.1,3.6,2.6,3.0,3.0,3.2,2.2,2.2,3.4,2.8,3.2,3.5,3.8
"  Geological technicians, except hydrologic technicians",19-4043,9.2,9.5,0.3,3.8,"52,440",Associate's degree,3.4,3.7,2.5,3.3,2.3,3.7,2.6,2.7,2.6,2.9,2.4,2.1,3.2,2.5,2.8,3.0,3.5
  Hydrologic technicians[2],19-4044,3.2,3.3,0.1,2.4,"55,890",Associate's degree,3.6,3.9,3.0,3.8,2.5,3.5,2.1,2.9,3.2,3.8,2.1,2.0,3.5,2.8,3.7,3.4,3.9
  Nuclear technicians,19-4051,5.4,5.1,-0.3,-6.2,"101,740",Associate's degree,3.9,3.5,2.1,3.3,2.1,4.4,2.9,2.8,2.9,3.0,2.9,2.4,3.5,2.3,3.2,3.4,3.3
  Social science research assistants,19-4061,37.5,39.9,2.4,6.3,"56,400",Bachelor's degree,3.8,3.9,2.6,3.4,2.4,3.4,1.7,2.9,2.7,3.1,1.3,1.2,3.1,2.5,2.1,3.2,3.9
  Forest and conservation technicians,19-4071,31.3,31.8,0.5,1.7,"51,880",Associate's degree,3.8,3.4,2.7,3.3,3.2,3.7,2.9,3.5,3.5,2.9,2.6,3.0,3.7,3.0,2.7,3.3,3.3
  Forensic science technicians,19-4092,18.6,21.2,2.5,13.6,"64,940",Bachelor's degree,3.7,3.6,2.3,3.4,3.2,4.1,2.7,3.0,2.9,2.7,2.0,2.4,3.8,2.2,3.0,3.6,4.0
"  Life, physical, and social science technicians, all other[2]",19-4099,83.3,88.2,4.8,5.8,"58,350",Associate's degree,3.7,3.7,2.6,3.4,2.4,3.8,2.7,2.9,2.9,3.1,2.2,2.2,3.4,2.7,3.0,3.2,3.7
  Occupational health and safety specialists,19-5011,125.9,144.7,18.8,14.9,"81,140",Bachelor's degree,4.0,3.7,2.9,3.9,3.2,3.8,2.1,3.7,3.5,3.4,2.0,1.8,4.0,2.8,3.6,3.6,4.0
  Occupational health and safety technicians,19-5012,27.6,30.8,3.2,11.4,"57,920",High school diploma or equivalent,3.9,3.8,2.7,3.7,3.0,3.8,2.2,3.5,3.4,2.9,2.0,2.1,3.8,2.9,3.3,3.5,3.8
"  Educational, guidance, and career counselors and advisors",21-1012,360.8,377.0,16.2,4.5,"61,710",Master's degree,4.4,3.5,3.0,3.4,3.7,3.4,1.6,4.5,3.5,2.2,1.1,1.7,3.9,2.7,1.2,3.8,4.0
  Marriage and family therapists,21-1013,76.0,88.2,12.3,16.2,"58,510",Master's degree,4.3,3.6,3.1,3.6,3.5,3.2,1.3,4.5,2.8,1.9,1.1,1.3,4.1,2.2,1.6,3.7,3.9
  Rehabilitation counselors,21-1015,87.6,89.2,1.6,1.8,"44,040",Master's degree,3.9,3.7,2.9,3.5,3.6,3.3,1.6,4.1,3.5,2.2,1.3,1.6,3.8,2.7,1.5,3.6,3.8
"  Substance abuse, behavioral disorder, and mental health counselors",21-1018,449.8,534.3,84.5,18.8,"53,710",Master's degree,4.2,3.5,3.1,3.6,3.5,3.4,1.5,4.5,3.3,2.2,1.3,1.7,3.5,2.7,1.8,3.9,3.9
"  Counselors, all other[2]",21-1019,65.9,75.4,9.5,14.4,"46,130",Master's degree,4.2,3.5,3.0,3.5,3.6,3.3,1.5,4.5,3.3,2.2,1.2,1.6,3.8,2.7,1.5,3.8,4.0
"  Child, family, and school social workers",21-1021,365.9,383.8,17.9,4.9,"53,940",Bachelor's degree,4.0,3.6,3.0,3.4,4.3,3.7,1.8,4.3,3.4,2.1,1.4,1.8,4.0,2.6,1.7,3.9,4.0
  Healthcare social workers,21-1022,193.2,211.9,18.7,9.7,"62,940",Master's degree,4.3,3.5,2.8,3.5,3.7,3.2,1.6,4.5,3.3,2.0,1.3,1.8,3.8,2.7,1.9,3.7,3.9
  Mental health and substance abuse social workers,21-1023,123.7,138.1,14.4,11.6,"55,960",Master's degree,4.2,3.6,3.1,3.6,3.5,3.5,1.4,4.4,3.3,2.1,1.3,1.6,3.7,2.9,1.7,3.8,4.0
"  Social workers, all other[2]",21-1029,69.0,72.8,3.8,5.5,"63,770",Bachelor's degree,4.1,3.6,3.0,3.5,4.0,3.5,1.6,4.4,3.4,2.0,1.3,1.8,3.9,2.7,1.8,3.8,4.0
  Health education specialists,21-1091,62.1,66.4,4.3,7.0,"62,860",Bachelor's degree,4.2,3.6,3.2,3.6,3.8,3.4,1.8,4.0,3.6,2.5,1.5,1.7,3.7,3.4,2.3,3.9,4.1
  Probation officers and correctional treatment specialists,21-1092,90.7,94.0,3.2,3.6,"61,800",Bachelor's degree,4.1,3.6,2.6,3.3,3.9,3.8,2.1,3.8,3.1,2.0,1.6,2.0,3.8,2.8,1.4,3.6,3.8
  Social and human service assistants,21-1093,433.0,467.4,34.4,7.9,"41,410",High school diploma or equivalent,4.0,3.6,2.9,3.2,3.8,3.5,1.7,4.1,3.2,2.0,1.3,2.0,3.5,2.7,1.4,3.6,3.7
  Community health workers,21-1094,63.4,71.7,8.3,13.1,"48,200",High school diploma or equivalent,4.2,3.6,3.2,3.3,3.8,3.4,2.6,4.3,3.6,2.3,1.6,2.2,3.6,3.2,1.7,3.8,4.0
"  Community and social service specialists, all other[2]",21-1099,103.6,109.8,6.1,5.9,"49,690",Bachelor's degree,4.2,3.6,3.0,3.4,3.8,3.4,1.6,4.3,3.3,2.1,1.3,1.8,3.8,2.7,1.6,3.8,3.9
  Clergy,21-2011,260.1,266.7,6.5,2.5,"58,920",Bachelor's degree,4.1,3.1,3.6,3.3,3.4,3.5,1.4,4.3,3.8,2.0,1.3,1.3,3.8,3.0,1.3,4.3,3.8
"  Directors, religious activities and education",21-2021,155.9,159.4,3.5,2.2,"50,140",Bachelor's degree,4.3,3.2,3.3,3.4,3.1,2.7,1.3,4.3,3.6,2.5,1.4,1.5,3.6,3.4,1.3,3.8,3.7
"  Religious workers, all other[2]",21-2099,83.8,85.7,1.9,2.2,"37,960",Bachelor's degree,4.1,3.1,3.5,3.3,3.3,3.2,1.4,4.3,3.7,2.2,1.4,1.4,3.8,3.2,1.3,4.1,3.7
  Lawyers,23-1011,859.0,903.3,44.2,5.2,"145,760",Doctoral or professional degree,4.3,3.5,3.0,3.9,3.8,4.2,2.0,3.5,3.1,2.4,1.3,1.3,4.3,2.8,1.3,4.0,4.3
  Judicial law clerks,23-1012,15.6,16.1,0.5,3.4,"57,490",Doctoral or professional degree,3.6,3.2,2.4,3.5,2.4,3.8,1.8,2.7,1.8,2.1,1.1,1.2,3.6,1.7,1.0,3.6,4.2
"  Administrative law judges, adjudicators, and hearing officers",23-1021,15.8,16.1,0.3,2.1,"111,090",Doctoral or professional degree,4.3,3.3,2.5,3.7,3.7,3.7,1.9,3.3,2.4,2.3,1.2,1.2,4.2,2.4,1.4,3.6,4.1
"  Arbitrators, mediators, and conciliators",23-1022,8.2,8.7,0.5,6.1,"71,540",Bachelor's degree,4.4,2.9,2.9,3.6,2.7,3.7,1.2,3.5,2.3,2.1,1.0,1.1,3.8,2.1,1.2,3.6,4.0
"  Judges, magistrate judges, and magistrates",23-1023,25.9,26.8,0.9,3.4,"148,910",Doctoral or professional degree,4.4,3.3,2.6,3.9,3.9,4.1,1.4,3.4,3.1,2.1,1.2,1.1,4.4,2.5,1.4,4.1,4.1
  Paralegals and legal assistants,23-2011,366.2,370.5,4.3,1.2,"60,970",Associate's degree,3.7,3.8,2.3,3.0,3.0,3.6,2.0,3.1,2.4,2.0,1.2,1.3,3.2,2.2,1.2,3.3,3.9
"  Title examiners, abstractors, and searchers",23-2093,56.3,56.9,0.6,1.0,"53,550",High school diploma or equivalent,3.6,3.7,2.1,3.2,2.8,3.9,2.0,2.9,2.6,2.2,1.2,1.3,3.6,2.3,1.1,3.2,3.8
"  Legal support workers, all other[2]",23-2099,47.3,47.8,0.5,1.0,"67,700",Associate's degree,3.7,3.8,2.3,3.1,3.0,3.6,2.0,3.0,2.4,2.1,1.2,1.3,3.3,2.3,1.2,3.2,3.9
"  Business teachers, postsecondary",25-1011,104.9,111.9,7.0,6.7,"97,130",Doctoral or professional degree,4.2,3.5,3.0,3.6,2.9,3.1,1.5,3.4,3.3,3.3,1.2,1.2,3.6,2.5,1.5,4.0,4.1
"  Computer science teachers, postsecondary",25-1021,45.0,47.7,2.7,6.1,"96,430",Doctoral or professional degree,4.2,4.2,3.3,3.7,2.9,3.2,1.6,3.5,3.6,3.3,1.5,1.2,3.9,2.7,2.1,3.8,4.0
"  Mathematical science teachers, postsecondary",25-1022,58.5,60.4,1.9,3.3,"81,020",Doctoral or professional degree,3.8,3.5,3.0,3.6,2.7,3.2,1.6,3.3,3.1,4.4,1.2,1.2,3.5,2.3,2.0,3.8,3.9
"  Architecture teachers, postsecondary",25-1031,10.7,11.0,0.3,3.2,"105,770",Doctoral or professional degree,4.2,3.7,3.8,3.8,2.8,3.2,1.8,3.6,3.7,3.0,1.5,1.3,3.7,3.0,2.2,4.0,4.0
"  Engineering teachers, postsecondary",25-1032,48.8,53.3,4.5,9.2,"106,910",Doctoral or professional degree,4.2,3.8,3.4,3.8,2.5,3.4,1.6,3.3,3.7,3.9,1.7,1.2,3.7,2.9,3.3,3.9,3.9
"  Agricultural sciences teachers, postsecondary",25-1041,9.5,9.9,0.5,4.8,"85,260",Doctoral or professional degree,4.3,3.6,3.3,3.6,2.9,3.4,2.0,3.8,3.9,3.1,1.7,1.9,3.8,3.0,3.3,4.1,4.1
"  Biological science teachers, postsecondary",25-1042,64.9,70.3,5.4,8.4,"83,920",Doctoral or professional degree,4.2,3.8,3.3,3.7,2.7,3.5,1.7,3.3,3.6,3.2,1.5,1.3,4.0,2.9,4.0,4.1,4.1
"  Forestry and conservation science teachers, postsecondary",25-1043,1.6,1.7,0.1,5.0,"101,650",Doctoral or professional degree,4.5,3.9,3.2,3.7,2.8,3.4,1.8,3.3,3.8,3.3,1.6,1.7,3.8,2.8,3.0,4.0,4.3
"  Atmospheric, earth, marine, and space sciences teachers, postsecondary",25-1051,14.4,15.0,0.5,3.8,"100,690",Doctoral or professional degree,4.0,3.7,3.1,3.8,2.9,3.3,1.7,3.3,3.4,3.6,1.5,1.4,3.7,2.7,3.8,4.1,4.0
"  Chemistry teachers, postsecondary",25-1052,25.4,26.2,0.9,3.4,"85,810",Doctoral or professional degree,4.0,3.6,3.1,3.8,2.6,3.8,1.5,3.2,3.6,3.4,1.6,1.3,3.7,2.7,3.9,3.9,4.1
"  Environmental science teachers, postsecondary",25-1053,9.1,9.4,0.4,3.9,"88,410",Doctoral or professional degree,4.1,3.6,3.3,3.7,2.6,3.4,1.6,3.4,3.6,3.2,1.6,1.3,3.6,2.9,3.8,3.9,4.1
"  Physics teachers, postsecondary",25-1054,17.7,18.4,0.7,3.7,"98,020",Doctoral or professional degree,4.0,3.8,3.1,3.7,2.8,3.2,1.9,3.4,3.4,3.9,2.0,1.3,3.8,2.9,3.5,3.8,4.1
"  Anthropology and archeology teachers, postsecondary",25-1061,6.3,6.5,0.2,3.8,"93,650",Doctoral or professional degree,4.4,3.7,3.4,3.7,2.8,3.5,1.8,3.6,3.7,2.7,1.2,1.3,3.8,2.8,2.7,4.0,4.2
"  Area, ethnic, and cultural studies teachers, postsecondary",25-1062,14.7,15.3,0.5,3.6,"86,030",Doctoral or professional degree,4.1,3.6,3.6,3.6,2.8,3.3,1.3,3.5,3.5,2.0,1.1,1.2,3.7,3.0,1.5,4.0,4.1
"  Economics teachers, postsecondary",25-1063,15.5,16.0,0.5,3.5,"115,300",Doctoral or professional degree,3.7,3.4,3.1,3.7,2.6,3.2,1.6,3.0,2.9,3.6,1.2,1.2,3.5,2.5,1.4,3.8,4.0
"  Geography teachers, postsecondary",25-1064,4.3,4.5,0.2,4.3,"85,600",Doctoral or professional degree,3.9,3.7,3.3,3.7,2.6,3.2,1.3,3.3,3.3,2.7,1.3,1.3,3.5,2.6,2.4,3.8,4.2
"  Political science teachers, postsecondary",25-1065,21.7,22.4,0.7,3.3,"93,810",Doctoral or professional degree,4.2,3.3,3.2,3.7,2.8,3.2,1.2,3.2,3.1,2.2,1.0,1.2,3.7,2.6,1.4,3.9,4.0
"  Psychology teachers, postsecondary",25-1066,51.1,53.6,2.6,5.0,"82,140",Doctoral or professional degree,4.3,3.7,3.2,3.7,2.9,3.2,1.5,3.9,3.7,3.0,1.2,1.2,3.8,2.8,2.5,3.9,4.2
"  Sociology teachers, postsecondary",25-1067,16.1,16.6,0.5,3.4,"82,670",Doctoral or professional degree,4.2,3.7,3.2,3.8,2.6,3.2,1.5,3.4,3.0,2.5,1.1,1.2,3.6,2.6,1.7,4.0,4.1
"  Social sciences teachers, postsecondary, all other[2]",25-1069,20.3,20.8,0.6,2.7,"77,750",Doctoral or professional degree,4.2,3.6,3.2,3.7,2.8,3.2,1.4,3.5,3.4,2.7,1.1,1.2,3.7,2.7,2.0,3.9,4.1
"  Health specialties teachers, postsecondary",25-1071,284.2,337.5,53.3,18.8,"105,650",Doctoral or professional degree,4.2,3.7,3.2,3.6,3.0,3.5,1.9,3.7,3.6,3.0,1.8,1.8,3.9,2.7,3.2,3.9,4.1
"  Nursing instructors and teachers, postsecondary",25-1072,89.9,105.9,16.1,17.9,"80,780",Doctoral or professional degree,4.4,3.9,3.1,3.7,3.6,4.0,2.4,4.1,4.0,3.2,1.5,2.2,3.9,3.0,2.8,3.9,4.1
"  Education teachers, postsecondary",25-1081,77.2,79.7,2.5,3.3,"73,240",Doctoral or professional degree,3.9,3.5,3.1,3.7,2.9,3.5,2.0,3.4,3.6,2.4,1.1,1.2,3.9,2.9,1.5,4.2,4.1
"  Library science teachers, postsecondary",25-1082,5.3,5.5,0.2,4.2,"80,310",Doctoral or professional degree,4.2,3.9,3.2,3.7,3.0,3.1,1.5,3.4,3.5,2.4,1.2,1.2,3.7,2.5,1.4,3.9,4.2
"  Criminal justice and law enforcement teachers, postsecondary",25-1111,16.1,16.6,0.5,2.9,"69,030",Doctoral or professional degree,4.2,3.8,3.0,3.6,3.1,3.3,1.4,3.4,3.1,2.1,1.2,1.3,3.8,2.6,1.7,3.9,4.0
"  Law teachers, postsecondary",25-1112,19.0,19.4,0.4,2.2,"127,360",Doctoral or professional degree,4.1,3.5,3.1,3.7,2.6,3.5,1.5,3.3,3.2,2.2,1.1,1.2,3.8,2.4,1.3,4.1,4.2
"  Social work teachers, postsecondary",25-1113,15.1,15.7,0.5,3.6,"75,020",Doctoral or professional degree,4.4,3.8,3.2,3.8,3.0,3.3,1.4,3.9,3.5,2.5,1.1,1.3,3.7,2.8,1.7,4.1,4.1
"  Art, drama, and music teachers, postsecondary",25-1121,127.4,130.9,3.5,2.7,"80,360",Master's degree,4.1,3.4,4.4,3.4,3.0,3.1,2.1,3.8,3.7,2.1,1.6,1.7,3.5,2.9,1.7,4.1,4.0
"  Communications teachers, postsecondary",25-1122,35.0,36.2,1.2,3.3,"79,910",Doctoral or professional degree,4.3,3.9,3.8,3.5,3.0,3.4,1.5,3.7,3.4,2.2,1.2,1.2,3.8,2.6,1.3,4.1,4.0
"  English language and literature teachers, postsecondary",25-1123,70.1,70.9,0.8,1.1,"78,130",Doctoral or professional degree,4.1,3.6,3.6,3.5,2.8,3.1,1.4,3.8,3.5,2.0,1.2,1.2,3.6,2.6,1.6,4.1,4.5
"  Foreign language and literature teachers, postsecondary",25-1124,26.1,26.4,0.3,1.0,"78,760",Doctoral or professional degree,4.1,3.3,3.5,3.4,2.3,3.0,1.4,3.4,2.9,1.9,1.1,1.2,3.5,2.2,1.2,3.9,4.0
"  History teachers, postsecondary",25-1125,25.8,26.0,0.2,0.9,"82,140",Doctoral or professional degree,4.2,3.5,3.5,3.8,2.5,3.5,1.3,3.5,3.0,2.2,1.1,1.2,3.7,2.6,1.5,4.0,4.2
"  Philosophy and religion teachers, postsecondary",25-1126,26.4,27.0,0.5,2.0,"79,930",Doctoral or professional degree,3.8,3.4,3.1,3.6,2.7,3.3,1.4,3.5,3.3,2.0,1.1,1.2,3.8,2.5,1.4,3.8,4.2
"  Family and consumer sciences teachers, postsecondary",25-1192,3.3,3.5,0.1,4.3,"78,410",Doctoral or professional degree,4.1,3.5,3.0,3.4,2.9,3.2,1.7,3.5,3.4,2.7,1.2,1.3,3.7,2.7,1.9,3.7,3.9
